CODFILIAL;CLASSIFICACAO;CODPROD;PRODUTO;CODFORNEC;FORNECEDOR;VALOR_ULTIMA_ENTRADA;QTD_TOTAL_ESTOQUE;QTD_GIRO_DIA;COBERTURA_ESTOQUE_ORIGINAL;COBERTURA_ESTOQUE_AJUSTADA;QTD_VENDAS_90D;QTD_DIAS_ZERADOS;VALOR_ESTOQUE;GIRO_MEDIO_CORRIGIDO;VALOR_EXCEDENTE
1;Farma;143782;BUTACID 200MG (2X10) 20COM;30;VITAMEDIC IND FARMACEUTICA LTDA;7,562202;15;1,184;12,67;12,67;51;0;113,43;0,57;0,0
1;Farma;143790;ESPIRONOLACTONA 25MG 30COM GEN GEO;33928;GEOLAB IND FARMACEUTICA S/A;7,693983;214;5,276;40,56;40,56;307;0;1646,51;3,41;0,0
1;Farma;143791;ESPIRONOLACTONA 50MG 30COM GEN GEO;33928;GEOLAB IND FARMACEUTICA S/A;13,674813;118;0,583;202,4;202,4;33;0;1613,63;0,37;896,11
1;Farma;143792;QUETIAPINA 200MG 30COM  (C1) GEN GEO;33928;GEOLAB IND FARMACEUTICA S/A;37,969782;50;0,01;5000,0;5000,0;1;0;1898,49;0,01;1864,32
1;Farma;143793;STOMALIV PO C/50 ENV SABOR GUARANA 5G;33928;GEOLAB IND FARMACEUTICA S/A;27,535749;2;0,184;10,87;9999,0;0;0;55,07;0,0;0,0
1;Farma;143827;ADDERA 2000UI 30CAP;47252;HYPERA S.A;44,606646;2;0,0;;9999,0;0;0;89,21;0,0;0,0
1;Farma;143828;ADDERA D3 10.000UI 10CAP GEL ;47252;HYPERA S.A;72,157449;53;0,252;210,32;210,32;25;0;3824,34;0,28;2187,83
1;Farma;143829;ADDERA D3 10.000UI 4CAP GEL ;47252;HYPERA S.A;41,014302;2;0,311;6,43;6,43;28;0;82,03;0,31;0,0
1;Farma;143830;ADDERA D3 5.000UI 30CAP MOLE;47252;HYPERA S.A;78,835449;40;0,369;108,4;108,4;36;0;3153,42;0,4;535,27
1;Farma;143831;ADDERA D3 50.000UI 4CAP GEL ;47252;HYPERA S.A;91,557384;6;0,631;9,51;9,51;60;0;549,34;0,67;0,0
1;Farma;143833;ADDERA D3 7.000UI 10CAP GEL;47252;HYPERA S.A;49,864739;45;0,0;;9999,0;0;0;2243,91;0,0;0,0
1;Farma;143836;AMPLIUM G CR VAG BG 40G C/7 APLIC;47252;HYPERA S.A;27,035379;8;0,107;74,77;74,77;7;0;216,28;0,08;0,0
1;Farma;143838;APRAZ  (ALPRAZOLAM) 0,25MG (B1) 30COM;47252;HYPERA S.A;11,58;5;0,0;;9999,0;0;0;57,9;0,0;0,0
1;Farma;143839;APRAZ (ALPRAZOLAM) 0,5MG (B1) 30COM;47252;HYPERA S.A;18,67;1;0,0;;9999,0;0;0;18,67;0,0;0,0
1;Farma;143841;BIFILAC ( LACIDOPHILUS  B LACTIS) 30CAP;47252;HYPERA S.A;86,128112;7;0,369;18,97;18,97;27;0;602,9;0,3;0,0
1;Farma;143852;DECIPRAX 10MG (C1)  60COM;47252;HYPERA S.A;98,00686;10;;;9999,0;0;0;980,07;0,0;0,0
1;Farma;143853;DECIPRAX 20MG (C1) 30COM;47252;HYPERA S.A;104,633874;19;0,0;;9999,0;0;0;1988,04;0,0;0,0
1;Farma;143855;DIGEDRAT 200MG 30CAP GEL;47252;HYPERA S.A;88,157535;24;0,0;;9999,0;0;0;2115,78;0,0;0,0
1;Farma;143856;DIGEDRAT 200MG 20CAP GEL;47252;HYPERA S.A;47,959726;19;0,0;;9999,0;0;0;911,23;0,0;0,0
1;Farma;143857;DIPROGENTA (BETAMETASONA+GENTA) CR 30G;47252;HYPERA S.A;29,314914;2;0,0;;9999,0;0;0;58,63;0,0;0,0
1;Farma;143858;DIPROGENTA (BETAMETASONA+GENTA) PM 30G;47252;HYPERA S.A;30,449815;2;0,0;;9999,0;0;0;60,9;0,0;0,0
1;Farma;143860;DIPROSALIC SOL 30ML;47252;HYPERA S.A;27,420033;4;0,0;;9999,0;0;0;109,68;0,0;0,0
1;Farma;143861;DIPROSONE CR (BETAMETASONA) 0,5MG/G 30G;47252;HYPERA S.A;31,473253;5;0,0;;9999,0;0;0;157,37;0,0;0,0
1;Farma;143864;DIPROSPAN HYPAK 1ML ;47252;HYPERA S.A;36,300597;11;0,68;16,18;16,18;66;0;399,31;0,73;0,0
1;Farma;143875;LACRILAX SOL OFT 5MG/ML 10ML;47252;HYPERA S.A;23,798767;53;0,437;121,28;121,28;30;0;1261,33;0,33;325,32
1;Farma;143878;LACRILAX SOL OFT 5MG/ML 15ML;47252;HYPERA S.A;37,77601;44;0,049;897,96;897,96;5;0;1662,14;0,06;1495,55
1;Farma;143879;LATOLISE DISPERSIVEL 30COM;47252;HYPERA S.A;24,063005;495;3,01;164,45;164,45;310;0;11911,19;3,44;5392,45
1;Farma;143891;NOVOTRAM (TRAMADOL) 100MG/ML 10ML (A2);47252;HYPERA S.A;57,302398;29;0,0;;9999,0;0;0;1661,77;0,0;0,0
1;Farma;143893;NOVOTRAM 50MG (A2 ) 10CAP;47252;HYPERA S.A;38,171199;43;0,049;877,55;877,55;5;0;1641,36;0,06;1473,02
1;Farma;143896;OFOLATO 30COM;47252;HYPERA S.A;72,838475;56;0,484;115,7;115,7;42;0;4078,95;0,47;906,04
1;Farma;143898;OFOLATO (METILFOLATO CALCIO+VIT E) 90COM;47252;HYPERA S.A;131,369199;27;0,019;1421,05;1421,05;2;0;3546,97;0,02;3322,33
1;Farma;143923;RINOSORO JET INF 0,9% NASAL 100ML;47252;HYPERA S.A;32,13429;169;3,155;53,57;53,57;290;0;5430,7;3,22;0,0
1;Farma;143924;RINOSORO XT GTS NASAL 30ML;47252;HYPERA S.A;15,651528;7;0,408;17,16;17,16;34;0;109,56;0,38;0,0
1;Farma;143932;FLUVIRAL NOITE DISPLAY (25X4) 100COM;47252;HYPERA S.A;134,45544;34;0,01;3400,0;3400,0;1;0;4571,48;0,01;4450,47
1;Farma;143933;FLUVIRAL DIA 20COM;47252;HYPERA S.A;18,337833;153;0,0;;9999,0;0;0;2805,69;0,0;0,0
1;Farma;143935;MIORRELAX (DIP+ORF+CAF) 2X10 20COM;47252;HYPERA S.A;4,063353;4;0,0;;9999,0;0;0;16,25;0,0;0,0
1;Farma;143937;VITASAY 50+A-Z MULHER 60COM;47252;HYPERA S.A;63,978717;10;0,0;;9999,0;0;0;639,79;0,0;0,0
1;Farma;143940;VITASAY 50+BELLA 60COM;47252;HYPERA S.A;42,717348;1;0,0;;9999,0;0;0;42,72;0,0;0,0
1;Farma;143941;VITASAY 50+IMUNE 30COM;47252;HYPERA S.A;21,997761;19;0,0;;9999,0;0;0;417,96;0,0;0,0
1;Farma;143985;NARANETY (NARATRIPTANA) 2,5MG 12COM;37273;LEGRAND PHARMA IND FARM LTDA;25,105749;36;0,243;148,15;148,15;25;0;903,81;0,28;354,75
1;Farma;143987;ARIPIPRAZOL 15MG 30COM (C1) GEN SDZ;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);114,620855;24;0,0;;9999,0;0;0;2750,9;0,0;0,0
1;Farma;143996;SERTRALINA 50MG 30COM (C1) GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;5,37841;15;0,544;27,57;27,57;50;0;80,68;0,56;0,0
1;Farma;143998;ZOLPIDEM 10MG 20COM (B1) GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;4,739627;4;0,0;;9999,0;0;0;18,96;0,0;0,0
1;Farma;144000;VIGORA PLUS GOLD 60CAP;789429;PRATI DONADUZZI & CIA LTDA - PR;10,851888;35;0,068;514,71;514,71;5;0;379,82;0,06;313,41
1;HB;144009;ROUPA INT TENA PANTS CONF G/EG 16UND;77800;ESSITY DO BRASIL INDUSTRIA E COMERCIO LTDA;37,405024;695;0,447;1554,81;1554,81;22;0;25996,49;0,24;24993,29
1;Farma;144041;CALMASYN (PASSIFLORA) SOL 37,84MG 100ML;33766;CIFARMA CIENTIFICA FARMAC LTDA;11,093594;34;0,32;106,25;106,25;29;0;377,18;0,32;57,69
1;Farma;144042;CALMASYN (PASSIFLORA) 300MG 20COM;33766;CIFARMA CIENTIFICA FARMAC LTDA;8,651493;6;1,492;4,02;4,02;94;0;51,91;1,04;0,0
1;Farma;144043;CALMASYN (PASSIFLORA) 900MG 20COM;33766;CIFARMA CIENTIFICA FARMAC LTDA;18,096245;4;0,019;210,53;9999,0;0;0;72,38;0,0;0,0
1;Farma;144047;LACPLUS 667MG/ML 120ML SALADA DE FRUTAS ;33766;CIFARMA CIENTIFICA FARMAC LTDA;10,640158;14;0,107;130,84;130,84;3;0;148,96;0,03;46,5
1;Farma;144048;ORALDRAT AGUA DE COCO PO 4ENV SOL ORAL;33766;CIFARMA CIENTIFICA FARMAC LTDA;6,982717;21;0,0;;9999,0;0;0;146,64;0,0;0,0
1;Farma;144049;ORALDRAT GUARANA PO 4ENV SOL ORAL;33766;CIFARMA CIENTIFICA FARMAC LTDA;6,982717;23;0,0;;9999,0;0;0;160,6;0,0;0,0
1;Farma;144051;ORALDRAT LARANJA PO 4ENV SOL ORAL;33766;CIFARMA CIENTIFICA FARMAC LTDA;6,982717;14;0,0;;9999,0;0;0;97,76;0,0;0,0
1;Farma;144053;ORALDRAT NATURAL PO 4ENV SOL ORAL;33766;CIFARMA CIENTIFICA FARMAC LTDA;6,982717;16;0,0;;9999,0;0;0;111,72;0,0;0,0
1;Farma;144059;VALSED (VALERIAN PASSIFLORA) 100MG 20COM;33766;CIFARMA CIENTIFICA FARMAC LTDA;9,586358;19;0,126;150,79;150,79;10;0;182,14;0,11;73,43
1;Farma;144061;TODOC (ETODOLACO) 400MG 10COM;37273;LEGRAND PHARMA IND FARM LTDA;10,56079;2;2,353;0,85;0,85;40;73;21,12;2,35;0,0
1;Farma;144077;FLORATIL 100MG 12CAP GEL ;33057;NATULAB LABORATORIO LTDA;21,393444;1;0,0;;9999,0;0;0;21,39;0,0;0,0
1;Farma;144085;ARNICA GEL HERTZ 30G;789423;KLEY HERTZ DISTRIBUIDORA LTDA;9,03881;4;0,534;7,49;7,49;56;0;36,16;0,62;0,0
1;Farma;144086;LAXOLACT (LACTULOSE) 600MG/L AMEI 120ML ;789423;KLEY HERTZ DISTRIBUIDORA LTDA;10,408139;30;1,029;29,15;29,15;69;0;312,24;0,77;0,0
1;HB;144088;FRALDA TENA CONFORT EG 18UND;77800;ESSITY DO BRASIL INDUSTRIA E COMERCIO LTDA;38,494042;1;0,0;;9999,0;0;0;38,49;0,0;0,0
1;HB;144089;COPO TWISTER DEGRADE LILAS TOTALVITA;789247;DRINK UP IND E COM DE ACRILICOS LTDA;2,3;6;;;9999,0;0;0;13,8;0,0;0,0
1;HB;144090;TAMPA TWISTER ROXO TOTALVITA;789247;DRINK UP IND E COM DE ACRILICOS LTDA;0,4;7;;;9999,0;0;0;2,8;0,0;0,0
1;HB;144091;CANUDO TWISTER ROXO TOTALVITA;789247;DRINK UP IND E COM DE ACRILICOS LTDA;0,05;40;;;9999,0;0;0;2,0;0,0;0,0
1;HB;144095;COPO TWISTER DEGRADE ROSA TOTALVITA;789247;DRINK UP IND E COM DE ACRILICOS LTDA;2,3;9;;;9999,0;0;0;20,7;0,0;0,0
1;HB;144096;TAMPA TWISTER ROSA TOTALVITA;789247;DRINK UP IND E COM DE ACRILICOS LTDA;0,4;405;;;9999,0;0;0;162,0;0,0;0,0
1;HB;144097;CANUDO TWISTER ROSA TOTALVITA;789247;DRINK UP IND E COM DE ACRILICOS LTDA;0,05;405;;;9999,0;0;0;20,25;0,0;0,0
1;Farma;144098;VIGORA PLUS MULTIVITAMINAS MULHER 60CAP;789429;PRATI DONADUZZI & CIA LTDA - PR;10,851888;33;0,427;77,28;77,28;6;0;358,11;0,07;0,0
1;Farma;144105;PREDNISOLONA 3MG/ML SOL 60ML GEN VITAMED;30;VITAMEDIC IND FARMACEUTICA LTDA;5,301651;2;9,049;0,22;0,22;887;0;10,6;9,86;0,0
1;Farma;144115;GERILON (GINSENG MULT) 30CAP MOLE (IND);33766;CIFARMA CIENTIFICA FARMAC LTDA;12,428425;2;0,0;;9999,0;0;0;24,86;0,0;0,0
1;Farma;144225;FLORALON (SACCHAROMYCES) 200MG 6CAP GEL;33766;CIFARMA CIENTIFICA FARMAC LTDA;8,832022;580;0,641;904,84;904,84;65;0;5122,57;0,72;4613,05
1;Farma;144234;BENEGRIP MULTI DIA 20COM;47252;HYPERA S.A;29,255382;27;0,252;107,14;107,14;22;0;789,9;0,24;126,37
1;Farma;144235;BENEGRIP MULTI DIA DISPLAY 25X4 100COM;47252;HYPERA S.A;202,070958;17;0,126;134,92;134,92;12;0;3435,21;0,13;1143,71
1;Farma;144236;NEXREPEL DEET LOCAO KIDS 200ML;789423;KLEY HERTZ DISTRIBUIDORA LTDA;11,819527;56;0,136;411,76;411,76;13;0;661,89;0,14;517,22
1;Farma;144292;AMIORON (CLOR AMIODARONA) 100MG 30COM;33928;GEOLAB IND FARMACEUTICA S/A;10,54248;330;3,282;100,55;100,55;276;0;3479,02;3,07;365,03
1;Farma;144293;AMIODARONA 100MG 30COM GEN GEO;33928;GEOLAB IND FARMACEUTICA S/A;10,633713;133;2,282;58,28;58,28;233;0;1414,28;2,59;0,0
1;Farma;144294;AMIODARONA 200MG 30COM GEN GEO;33928;GEOLAB IND FARMACEUTICA S/A;16,341182;540;3,282;164,53;164,53;237;0;8824,24;2,63;3997,27
1;Farma;144299;BENEGRIP MULTI NOITE DISPLAY 25X4 10COM;47252;HYPERA S.A;202,070958;13;0,117;111,11;111,11;12;0;2626,92;0,13;499,09
1;Farma;144408;GROW FERRO 100MG/ML 30ML;33766;CIFARMA CIENTIFICA FARMAC LTDA;55,686756;1;3,922;0,25;0,25;404;0;55,69;4,49;0,0
1;Farma;144460;NEOLEFRIN DIA (800MG+20MG PAR+FEN) 20COM;47252;HYPERA S.A;4,815075;2914;29,34;99,32;99,32;2852;0;14031,13;31,69;1316,65
1;Farma;144462;CLORETO DE MAGNESIO 33G DIPL 20UNDS RIOQ;9090;INDUSTRIA FARMACEUTICA RIOQUIMICA LTDA;53,263;5;0,0;;9999,0;0;0;266,32;0,0;0,0
1;Farma;144465;GASTROL PO EFEV LIMAO 25ENV 5G;47252;HYPERA S.A;59,544738;6;0,068;88,24;88,24;5;0;357,27;0,06;0,0
1;Farma;144466;GASTROL PO EFEV ABACAXI 25ENV 5G;47252;HYPERA S.A;66,083103;4;0,243;16,46;16,46;19;0;264,33;0,21;0,0
1;Farma;144467;GASTROL PO EFEV LARANJA 25ENV 5G;47252;HYPERA S.A;66,083103;6;0,097;61,86;61,86;10;0;396,5;0,11;0,0
1;Farma;144468;GLICERINA HID PURA COSMETIC 100ML FARMAX;793261;FARMAX DISTRIBUIDORA S.A;4,571138;176;11,437;15,39;15,39;1195;0;804,52;13,28;0,0
1;Farma;144580;AIPRI (ARIPIPRAZOL) 10MG 30COM (C1);47252;HYPERA S.A;111,84;19;0,0;;9999,0;0;0;2124,96;0,0;0,0
1;Farma;144582;AREMAZ (HEDERA HELIX) 7MG/ML 100ML;33286;MULTILAB IND E COM DE PROD FARMAC LTDA (MARCAS);4,751822;14;6,068;2,31;2,31;554;0;66,53;6,16;0,0
1;Farma;144599;GROW ZINCO SOL 100ML;33766;CIFARMA CIENTIFICA FARMAC LTDA;37,754802;66;1,883;35,05;35,05;170;0;2491,82;1,89;0,0
1;Farma;144600;MEGY (DROSPIR+ETINIL) 3MG+0,02MG 24COM;37273;LEGRAND PHARMA IND FARM LTDA;12,180786;73;0,369;197,83;197,83;38;0;889,2;0,42;484,67
1;Farma;144601;AMIODARONA 200MG 30COM GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;16,970523;12;1,165;10,3;10,3;120;0;203,65;1,33;0,0
1;Farma;144602;NISTATINA CR VAG 60G 14APL GEN MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;8,976763;301;2,631;114,41;114,41;246;0;2702,01;2,73;576,49
1;Farma;144603;SIMETICONA 75MG/ML GTS 15ML SIMILAR MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;5,270683;2796;50,524;55,34;55,34;4447;0;14736,83;49,41;0,0
1;Farma;144604;SIMETICONA 125MG 10CAP MOLE SIMILAR MDY;789662;SANOFI MEDLEY FARMACEUTICA LTDA;5,650565;1476;12,913;114,3;114,3;1300;0;8340,23;14,44;1773,12
1;Farma;144619;LEVOCETIRIZINA 5MG 10COM GEN NQ;47252;HYPERA S.A;10,497583;459;9,456;48,54;48,54;852;0;4818,39;9,47;0,0
1;Farma;144621;ZOLPIDEM 10MG 30COM (B1) GEN NVQ;790808;MULTILAB IND E COM DE PROD FARMAC LTDA (NVQ);3,910678;3;2,505;1,2;1,2;210;0;11,73;2,33;0,0
1;Farma;144628;TANSULOSINA 0,4MG 60CAP GEN GEO;33928;GEOLAB IND FARMACEUTICA S/A;49,550614;4;0,0;;9999,0;0;0;198,2;0,0;0,0
1;Farma;144646;TAMARETI (LACTULOSE 335MG/G) 150G;789423;KLEY HERTZ DISTRIBUIDORA LTDA;36,62286;1;1,409;0,71;0,71;114;0;36,62;1,27;0,0
1;Farma;144673;DROPY D (COLECALCIFEROL) 7.000UI  10COM;47252;HYPERA S.A;3,831063;1;0,0;;9999,0;0;0;3,83;0,0;0,0
1;Farma;144676;DROPY D (COLECALCI) 10.000UI/ML GTS 10ML;47252;HYPERA S.A;12,85884;489;0,0;;9999,0;0;0;6287,97;0,0;0,0
1;Farma;144677;DROPY D (COLECALCIFEROL) 2.000UI  30COM;47252;HYPERA S.A;5,304978;1;0,0;;9999,0;0;0;5,3;0,0;0,0
1;Farma;144679;VASELINA HID LIQ VASEMAX 100ML;793261;FARMAX DISTRIBUIDORA S.A;3,609303;7;2,825;2,48;2,48;288;0;25,27;3,2;0,0
1;Farma;144680;TOTALVITA MAGNESIO PA 60/CAPS;789249;FORHEALTH NUTRICIONAL EIRELI-ME;9,63959;14;0,0;;9999,0;0;0;134,95;0,0;0,0
1;Farma;144681;TOTALVITA COLAGENO 60/CAPS;789249;FORHEALTH NUTRICIONAL EIRELI-ME;16,13819;138;0,0;;9999,0;0;0;2227,07;0,0;0,0
1;Farma;144682;TOTALVITA OMEGA AZ 60/CAPS;789249;FORHEALTH NUTRICIONAL EIRELI-ME;16,235669;489;0,029;16862,07;16862,07;3;0;7939,24;0,03;7896,86
1;Farma;144683;TOTALVITA CALCIO D3 60/CAPS;789249;FORHEALTH NUTRICIONAL EIRELI-ME;10,72269;46;0,0;;9999,0;0;0;493,24;0,0;0,0
1;Farma;144685;ALUDOR (IBUPROFENO) 50MG/ML 30ML;33766;CIFARMA CIENTIFICA FARMAC LTDA;1,968772;1;0,0;;9999,0;0;0;1,97;0,0;0,0
1;Farma;144687;ABCLER DISPLAY 50FLAC;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;32,046997;2;0,0;;9999,0;0;0;64,09;0,0;0,0
1;Farma;144690;ABERALGINA (DIPIRONA) 500MG/ML GTS 10ML;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;1,117;2752;8,456;325,45;325,45;836;0;3073,98;9,29;2223,9
1;Farma;144691;ABERALGINA (DIPIRONA) 500MG/ML GTS 20ML;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;2,19644;1157;10,485;110,35;110,35;986;0;2541,28;10,96;468,65
1;Farma;144692;ABIDOR (PARACETAMOL) GTS 15ML;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;1,97799;155;5,298;29,26;29,26;445;6;306,59;5,3;0,0
1;Farma;144694;ALCAGEST (CYNARA SCOLYMUS) 300MG 45CAP;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;13,509469;38;0,126;301,59;301,59;13;0;513,36;0,14;360,16
1;Farma;144696;CALMAZIL (VALERIANA OFFICIN) 215MG 30CAP;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;6,778343;2;0,0;;9999,0;0;0;13,56;0,0;0,0
1;Farma;144697;CETOP (CETOCONAZOL) XAMPU 100ML;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;9,725095;2;0,0;;9999,0;0;0;19,45;0,0;0,0
1;Farma;144700;FLUXOLIV(CASTANHA DA INDIA) 45CAP;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;6,434114;8;0,0;;9999,0;0;0;51,47;0,0;0,0
1;Farma;144702;FORTEVIT (FERRO Q.+PIRID+NICOT) 500ML;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;6,706992;14;0,0;;9999,0;0;0;93,9;0,0;0,0
1;Farma;144704;SENEBEM (SENNA ALEXAND.) 10X10CAP;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;39,860871;20;;;9999,0;0;0;797,22;0,0;0,0
1;Farma;144706;TEPEMEN(ACTAEA RACEMOSA) 80MG 45CAP;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;12,255456;3;;;9999,0;0;0;36,77;0,0;0,0
1;Farma;144707;VITAXON C (AC ASCORB) 1G 10COM EFERV LAR;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;3,317704;11;51,786;0,21;0,21;4811;0;36,49;53,46;0,0
1;Farma;144709;GUACOFLUS XPE 120ML ;789825;AIRELA INDUSTRIA FARMACEUTICA LTDA;5,616341;54;0,058;931,03;931,03;6;0;303,28;0,07;273,96
1;HB;144716;CANUDO TWISTER VERDE TOTALVITA;789247;DRINK UP IND E COM DE ACRILICOS LTDA;0,05;100;;;9999,0;0;0;5,0;0,0;0,0
1;Farma;144722;ORLISTATE 120MG 30CAP GEN NQ;47252;HYPERA S.A;45,180654;2;2,602;0,77;0,77;268;0;90,36;2,98;0,0
1;Farma;144724;LACTO LEVE (LACTULOSE) SEM SABOR 120ML;47252;HYPERA S.A;17,45199;3;0,0;;9999,0;0;0;52,36;0,0;0,0
1;Farma;144726;MIRTAZAPINA 30MG 28COM (C1) GEN NOV SDZ;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);60,895182;10;0,0;;9999,0;0;0;608,95;0,0;0,0
1;Farma;144740;GLICLAZIDA 30MG 30COM LP GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;7,702047;26;0,175;148,57;148,57;18;0;200,25;0,2;78,94
1;Farma;144741;GLICLAZIDA 30MG 60COM LP GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;13,599909;74;0,078;948,72;948,72;8;0;1006,39;0,09;910,92
1;Farma;144742;GLICLAZIDA 60MG 30COM LP GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;18,66264;210;1,767;118,85;118,85;165;0;3919,15;1,83;951,35
1;Farma;144743;GLICLAZIDA 60MG 60COM LP GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;34,009793;219;0,718;305,01;305,01;70;0;7448,14;0,78;5250,4
1;Farma;144745;ITRACONAZOL 100MG 15CAP GEN LEG;37273;LEGRAND PHARMA IND FARM LTDA;14,498034;23;0,592;38,85;38,85;36;0;333,45;0,4;0,0
1;HB;144746;PRESERV BLOWTEX LUBRIFICADO L9P6;790249;FABRICA DE ARTEFATOS DE LATEX BLOWTEX LTDA;6,355863;714;13,097;54,52;54,52;977;0;4538,09;10,86;0,0
1;Farma;144776;INALADOR COMPRESSOR NEW INALAR;790370;OMRON HEALTHCARE BRASIL LTDA;133,536581;25;0,0;;9999,0;0;0;3338,41;0,0;0,0
1;Farma;144778;BALANÇA DIGITAL CORPORAL OMRON;790370;OMRON HEALTHCARE BRASIL LTDA;66,28169;28;0,029;965,52;965,52;3;0;1855,89;0,03;1682,9
1;Farma;144780;MASCARA PLASTICA TAM ADULTO;790370;OMRON HEALTHCARE BRASIL LTDA;4,390025;1;0,0;;9999,0;0;0;4,39;0,0;0,0
1;Farma;144782;SERTRALINA 50MG 30COM (C1) GEN GMD;53333;GERMED FARMACEUTICA LTDA;6,562739;30;2,282;13,15;13,15;223;0;196,88;2,48;0,0
1;Farma;144784;ZOLPIDEM 10MG 30COM (B1) GEN SDZ;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);2,411695;556;9,874;56,31;56,31;944;0;1340,9;10,49;0,0
1;Farma;144785;SONOTABS (VALERIANA OFFICIN) 100MG 2OCOM;789423;KLEY HERTZ DISTRIBUIDORA LTDA;19,145765;308;0,0;;9999,0;0;0;5896,9;0,0;0,0
1;Farma;144788;TADALAFILA 20MG 4COM GEN NVQ;790808;MULTILAB IND E COM DE PROD FARMAC LTDA (NVQ);2,524166;4374;13,99;312,65;312,65;949;0;11040,7;10,54;7862,5
1;Farma;144789;PARACETAMOL+COD 500+30MG 24COM (A2) NVQ;790808;MULTILAB IND E COM DE PROD FARMAC LTDA (NVQ);12,488786;63;2,32;27,16;27,16;201;0;786,79;2,23;0,0
1;Farma;144790;PARACETAMOL+COD 500+30MG 12COM (A2) NVQ;790808;MULTILAB IND E COM DE PROD FARMAC LTDA (NVQ);5,707424;1;1,845;0,54;0,54;144;0;5,71;1,6;0,0
1;Farma;144791;PARACETAMOL+COD 500+30MG 36COM (A2) NVQ;790808;MULTILAB IND E COM DE PROD FARMAC LTDA (NVQ);14,4096;65;0,0;;9999,0;0;0;936,62;0,0;0,0
1;Farma;144795;INALIDE BUDESONIDA 32MCG SPR NAS 120DOS;33286;MULTILAB IND E COM DE PROD FARMAC LTDA (MARCAS);11,575512;310;0,951;325,97;325,97;98;0;3588,41;1,09;2597,65
1;Farma;144796;INALIDE BUDESONIDA 64MCG SPR NAS 120DOS;33286;MULTILAB IND E COM DE PROD FARMAC LTDA (MARCAS);19,079231;70;1,748;40,05;40,05;180;0;1335,55;2,0;0,0
1;Farma;144802;PROCTOX POM C/1 APLICADOR BISNAGA 30G;33286;MULTILAB IND E COM DE PROD FARMAC LTDA (MARCAS);9,789896;2;0,0;;9999,0;0;0;19,58;0,0;0,0
1;HB;144804;BALAS DE FITOMELITO 37G FITOBEL;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;3,290184;638;4,291;148,68;148,68;355;0;2099,14;3,94;1252,03
1;HB;144805;MEL FITOMELITO 150G FITOBEL;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;12,390664;309;0,34;908,82;908,82;35;0;3828,72;0,39;3575,95
1;HB;144806;MEL FITOMELITO SPRAY 35ML FITOMEL;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;10,354436;439;0,631;695,72;695,72;65;0;4545,6;0,72;4153,58
1;HB;144807;MEL FITOMELITO SACHE 100G FITOMEL;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;7,679179;204;0,981;207,95;207,95;101;0;1566,55;1,12;1114,55
1;HB;144808;MEL C/ PROPOLIS SABOR AGRIAO 150G FITOBE;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;10,917648;43;0,592;72,64;72,64;61;0;469,46;0,68;81,69
1;HB;144809;MEL C/ PROPOLIS SABOR ROMA 150G FITOBEL*;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;11,522448;1;0,107;9,35;9999,0;0;0;11,52;0,0;0,0
1;HB;144810;MEL SABOR ALHO E LIMAO 150G FITOBEL;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;10,917648;117;0,476;245,8;245,8;49;0;1277,36;0,54;965,56
1;HB;144811;MEL DE ABELHAS BISNAGA 270G FITOBEL;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;12,155234;94;0,544;172,79;172,79;56;0;1142,59;0,62;745,83
1;HB;144812;MEL DE ABELHAS BISNAGA 450G FITOBEL;789865;FITOBEL INDUSTRIAS REUNIDAS LTDA;18,467157;45;0,165;272,73;272,73;16;0;831,02;0,18;648,2
